Experimento,Métrica,Media,Std,Min,Max,Mediana
Leave-One-Out,Accuracy,0.9306,0.0752,0.6619,1.0000,0.9507
Leave-One-Out,F1-Score,0.9273,0.0909,0.5730,1.0000,0.9536
Leave-One-Out,Accuracy,0.9423,0.0068,0.9375,0.9471,0.9423
Leave-One-Out,F1-Score,0.9437,0.0087,0.9375,0.9499,0.9437
