Experimento,Métrica,Media,Std,Min,Max,Mediana
Personalizado,Accuracy,0.9047,0.0893,0.6377,0.9880,0.9290
Personalizado,F1-Score,0.9073,0.0996,0.5287,0.9888,0.9380
Leave-One-Out,Accuracy,0.9423,0.0068,0.9375,0.9471,0.9423
Leave-One-Out,F1-Score,0.9437,0.0087,0.9375,0.9499,0.9437
