accuracy,f1,patient
0.9719185827365246,0.9720369874138614,chb01
0.9989077007099946,0.9988993405761806,chb02
0.981653042688465,0.9813641450934256,chb03
0.6395242451967064,0.5298145049230292,chb04
0.9811465948441709,0.981200834882327,chb05
0.993983533882204,0.9938426440734877,chb06
0.9158375907502017,0.9117280775015326,chb07
0.8378980891719745,0.8424178331684634,chb08
0.9715627445864857,0.9717309848795628,chb09
0.9851668726823238,0.98508108597274,chb10
0.9288321167883211,0.9631031220435194,chb11
0.8362032759344813,0.8355260514886287,chb12
0.7978974080116005,0.7608194584871352,chb13
0.9663117134559536,0.9593161785066024,chb14
0.95562435500516,0.954979417715547,chb15
0.9394868934746236,0.9181851071291892,chb16
0.9344650611922621,0.9319620112212712,chb17
0.840317100792752,0.8214763229531369,chb18
0.9724770642201835,0.9723508757448099,chb19
0.9419684308263695,0.9433926204059746,chb20
0.9942972156994297,0.9940761962090089,chb21
0.9629783693843594,0.9619284627689766,chb22
0.9191134139320668,0.9143201955588164,chb23
0.8900557925828684,0.8561381489762342,chb24
